person_id,full_name,preferred_name,search_name,is_permitted_to_logon,logon_name,is_external_logon_provider,hashed_password,is_system_user,is_employee,is_salesperson,user_preferences,phone_number,fax_number,email_address,photo,custom_fields,other_languages,last_edited_by
16,Archer Lamble,Archer,Archer Archer Lamble,f,archerl@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,archerl@wideworldimporters.com,,"{ ""OtherLanguages"": [""Greek""] ,""HireDate"":""2009-05-13T00:00:00"",""Title"":""Team Member"",""PrimarySalesTerritory"":""Plains"",""CommissionRate"":""1.88""}","[""Greek""]",1
17,Piper Koch,Piper,Piper Piper Koch,t,piperk@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,piperk@wideworldimporters.com,,"{ ""OtherLanguages"": [""Romanian"",""Portuguese""] ,""HireDate"":""2011-10-15T00:00:00"",""Title"":""Manager""}","[""Romanian"",""Portuguese""]",1
18,Katie Darwin,Katie,Katie Katie Darwin,t,katied@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,katied@wideworldimporters.com,,"{ ""OtherLanguages"": [""Estonian"",""Romanian""] ,""HireDate"":""2008-07-12T00:00:00"",""Title"":""Team Member""}","[""Estonian"",""Romanian""]",1
19,Jai Shand,Jai,Jai Jai Shand,t,jais@wideworldimporters.com,f,,t,t,f,,(415) 555-0102,(415) 555-0103,jais@wideworldimporters.com,,"{ ""OtherLanguages"": [""Finnish"",""Dutch""] ,""HireDate"":""2011-11-13T00:00:00"",""Title"":""Team Member""}","[""Finnish"",""Dutch""]",1
20,Jack Potter,Jack,Jack Jack Potter,t,jackp@wideworldimporters.com,f,,t,t,t,,(415) 555-0102,(415) 555-0103,jackp@wideworldimporters.com,,"{ ""OtherLanguages"": [""Arabic""] ,""HireDate"":""2009-05-29T00:00:00"",""Title"":""General Manager"",""PrimarySalesTerritory"":""Southeast"",""CommissionRate"":""3.97""}","[""Arabic""]",1
21,Reio Kabin,Reio,Reio Reio Kabin,f,NO LOGON,f,,f,f,f,,(847) 555-0100,(847) 555-0101,reio@adatum.com,,,,1
22,Oliver Kivi,Olly,Olly Oliver Kivi,f,NO LOGON,f,,f,f,f,,(847) 555-0100,(847) 555-0101,olly@adatum.com,,,,1
23,Hanna Mihhailov,Hanna,Hanna Hanna Mihhailov,f,NO LOGON,f,,f,f,f,,(360) 555-0100,(360) 555-0101,hannam@contoso.com,,,,1
24,Paulus Lippmaa,Paulus,Paulus Paulus Lippmaa,f,NO LOGON,f,,f,f,f,,(360) 555-0100,(360) 555-0101,paulusl@contoso.com,,,,1
25,Kerstin Parn,Kerstin,Kerstin Kerstin Parn,f,NO LOGON,f,,f,f,f,,(415) 555-0100,(415) 555-0101,kerstin@consolidatedmessenger.com,,,,1
26,Helen Ahven,Helen,Helen Helen Ahven,f,NO LOGON,f,,f,f,f,,(415) 555-0100,(415) 555-0101,helen@consolidatedmessenger.com,,,,1
27,Bill Lawson,Bill,Bill Bill Lawson,f,NO LOGON,f,,t,f,f,,(203) 555-0107,(203) 555-0107,billl@fabrikam.com,,,,1
28,Helen Moore,Helen,Helen Helen Moore,f,NO LOGON,f,,t,f,f,,(203) 555-0104,(203) 555-0107,helenm@fabrikam.com,,,,1
29,Penny Buck,Penny,Penny Penny Buck,f,NO LOGON,f,,t,f,f,,(406) 555-0107,(406) 555-0109,pennyb@graphicdesigninstitute.com,,,,1
30,Donna Smith,Donna,Donna Donna Smith,f,NO LOGON,f,,t,f,f,,(406) 555-0101,(406) 555-0109,donnas@graphicdesigninstitute.com,,,,1
31,Madelaine  Cartier,Madelaine,Madelaine Madelaine  Cartier,f,NO LOGON,f,,t,f,f,,(423) 555-0101,(423) 555-0100,madelainec@humongousinsurance.com,,,,1
32,Annette Talon,Annette,Annette Annette Talon,f,NO LOGON,f,,t,f,f,,(423) 555-0106,(423) 555-0100,annettet@humongousinsurance.com,,,,1
33,Elias Myllari,Elias,Elias Elias Myllari,f,NO LOGON,f,,t,f,f,,(209) 555-0101,(209) 555-0106,eliasm@litwareinc.com,,,,1
34,Vilma Niva,Vilma,Vilma Vilma Niva,f,NO LOGON,f,,t,f,f,,(209) 555-0103,(209) 555-0106,vilman@litwareinc.com,,,,1
35,Prem Prabhu,Prem,Prem Prem Prabhu,f,NO LOGON,f,,t,f,f,,(423) 555-0102,(423) 555-0108,premp@lucernepublishing.com,,,,1
36,Sunita Jadhav,Sunita,Sunita Sunita Jadhav,f,NO LOGON,f,,t,f,f,,(423) 555-0101,(423) 555-0108,sunitaj@lucernepublishing.com,,,,1
37,Marcos Costa,Marcos,Marcos Marcos Costa,f,NO LOGON,f,,t,f,f,,(252) 555-0106,(252) 555-0101,marcosc@nodpublishers.com,,,,1
38,Matheus Oliveira,Matheus,Matheus Matheus Oliveira,t,matheuso@nodpublishers.com,f,,t,f,f,,(252) 555-0107,(252) 555-0101,matheuso@nodpublishers.com,,,,1
39,Eliza Soderberg,Eliza,Eliza Eliza Soderberg,t,elizas@northwindelectriccars.com,f,,t,f,f,,(201) 555-0101,(201) 555-0106,elizas@northwindelectriccars.com,,,,1
40,Sara Karlsson,Sara,Sara Sara Karlsson,f,NO LOGON,f,,t,f,f,,(201) 555-0100,(201) 555-0106,sarak@northwindelectriccars.com,,,,1
41,Donald Jones,Donald,Donald Donald Jones,f,NO LOGON,f,,t,f,f,,(605) 555-0101,(605) 555-0101,donaldj@treyresearch.net,,,,1
42,Sharon Graham,Sharon,Sharon Sharon Graham,f,NO LOGON,f,,t,f,f,,(605) 555-0106,(605) 555-0101,sharong@treyresearch.net,,,,1
43,Hai Dam,Hai,Hai Hai Dam,f,NO LOGON,f,,t,f,f,,(218) 555-0101,(218) 555-0108,haid@thephone-company.com,,,,1
44,Thanh Dinh,Thanh,Thanh Thanh Dinh,f,NO LOGON,f,,t,f,f,,(218) 555-0104,(218) 555-0108,thanhd@thephone-company.com,,,,1
45,Hubert Helms,Hubert,Hubert Hubert Helms,f,NO LOGON,f,,t,f,f,,(415) 555-0103,(415) 555-0104,huberth@woodgrovebank.com,,,,1
46,Donald Small,Donald,Donald Donald Small,f,NO LOGON,f,,t,f,f,,(415) 555-0105,(415) 555-0104,donalds@woodgrovebank.com,,,,1
1001,Waldemar Fisar,Waldemar,Waldemar Waldemar Fisar,t,waldemar@tailspintoys.com,f,,f,f,f,,(308) 555-0100,(308) 555-0101,waldemar@tailspintoys.com,,,,1
1002,Laimonis Berzins,Laimonis,Laimonis Laimonis Berzins,f,NO LOGON,f,,f,f,f,,(308) 555-0100,(308) 555-0101,laimonis@tailspintoys.com,,,,1
1003,Lorena Cindric,Lorena,Lorena Lorena Cindric,f,NO LOGON,f,,f,f,f,,(406) 555-0100,(406) 555-0101,lorena@tailspintoys.com,,,,1
1004,Hung Van Groesen,Hung,Hung Hung Van Groesen,f,NO LOGON,f,,f,f,f,,(406) 555-0100,(406) 555-0101,hung@tailspintoys.com,,,,1
1005,Bhaargav Rambhatla,Bhaargav,Bhaargav Bhaargav Rambhatla,f,NO LOGON,f,,f,f,f,,(480) 555-0100,(480) 555-0101,bhaargav@tailspintoys.com,,,,1
1006,Mudar Jevtic,Mudar,Mudar Mudar Jevtic,f,NO LOGON,f,,f,f,f,,(480) 555-0100,(480) 555-0101,mudar@tailspintoys.com,,,,1
1007,Daniel Roman,Daniel,Daniel Daniel Roman,f,NO LOGON,f,,f,f,f,,(316) 555-0100,(316) 555-0101,daniel@tailspintoys.com,,,,1
1008,Leyla Radnia,Leyla,Leyla Leyla Radnia,f,NO LOGON,f,,f,f,f,,(316) 555-0100,(316) 555-0101,leyla@tailspintoys.com,,,,1
1009,Johanna Huiting,Johanna,Johanna Johanna Huiting,f,NO LOGON,f,,f,f,f,,(212) 555-0100,(212) 555-0101,johanna@tailspintoys.com,,,,1
1010,Robert Ruutli,Robert,Robert Robert Ruutli,f,NO LOGON,f,,f,f,f,,(212) 555-0100,(212) 555-0101,robert@tailspintoys.com,,,,1
1011,Biswajeet Thakur,Biswajeet,Biswajeet Biswajeet Thakur,f,NO LOGON,f,,f,f,f,,(701) 555-0100,(701) 555-0101,biswajeet@tailspintoys.com,,,,1
1012,Radha Shah,Radha,Radha Radha Shah,f,NO LOGON,f,,f,f,f,,(701) 555-0100,(701) 555-0101,radha@tailspintoys.com,,,,1
1013,Kalidas Nadar,Kalidas,Kalidas Kalidas Nadar,f,NO LOGON,f,,f,f,f,,(423) 555-0100,(423) 555-0101,kalidas@tailspintoys.com,,,,1
1014,Filip Nedvidek,Filip,Filip Filip Nedvidek,f,NO LOGON,f,,f,f,f,,(423) 555-0100,(423) 555-0101,filip@tailspintoys.com,,,,1
1015,Kanti Kotadia,Kanti,Kanti Kanti Kotadia,f,NO LOGON,f,,f,f,f,,(303) 555-0100,(303) 555-0101,kanti@tailspintoys.com,,,,1
1016,Hoa Cu,Hoa,Hoa Hoa Cu,f,NO LOGON,f,,f,f,f,,(303) 555-0100,(303) 555-0101,hoa@tailspintoys.com,,,,1
1017,Sointu Aalto,Sointu,Sointu Sointu Aalto,f,NO LOGON,f,,f,f,f,,(201) 555-0100,(201) 555-0101,sointu@tailspintoys.com,,,,1
1018,Jae-Gon Min,Jae-Gon,Jae-Gon Jae-Gon Min,f,NO LOGON,f,,f,f,f,,(201) 555-0100,(201) 555-0101,jae-gon@tailspintoys.com,,,,1
1019,Siddhartha Parkar,Siddhartha,Siddhartha Siddhartha Parkar,f,NO LOGON,f,,f,f,f,,(701) 555-0100,(701) 555-0101,siddhartha@tailspintoys.com,,,,1
1020,Paula Matos,Paula,Paula Paula Matos,f,NO LOGON,f,,f,f,f,,(701) 555-0100,(701) 555-0101,paula@tailspintoys.com,,,,1
1021,Elnaz Javan,Elnaz,Elnaz Elnaz Javan,f,NO LOGON,f,,f,f,f,,(215) 555-0100,(215) 555-0101,elnaz@tailspintoys.com,,,,1
1022,Jayashish Ghatak,Jayashish,Jayashish Jayashish Ghatak,f,NO LOGON,f,,f,f,f,,(215) 555-0100,(215) 555-0101,jayashish@tailspintoys.com,,,,1
1023,Heloisa Fernandes,Heloisa,Heloisa Heloisa Fernandes,f,NO LOGON,f,,f,f,f,,(218) 555-0100,(218) 555-0101,heloisa@tailspintoys.com,,,,1
1024,Amornrat Rattanaporn,Amornrat,Amornrat Amornrat Rattanaporn,f,NO LOGON,f,,f,f,f,,(218) 555-0100,(218) 555-0101,amornrat@tailspintoys.com,,,,1
1025,Razeena Hosseini,Razeena,Razeena Razeena Hosseini,f,NO LOGON,f,,f,f,f,,(217) 555-0100,(217) 555-0101,razeena@tailspintoys.com,,,,1
1026,Leticia Ribeiro,Leticia,Leticia Leticia Ribeiro,f,NO LOGON,f,,f,f,f,,(217) 555-0100,(217) 555-0101,leticia@tailspintoys.com,,,,1
1027,Tereza Valentova,Tereza,Tereza Tereza Valentova,f,NO LOGON,f,,f,f,f,,(240) 555-0100,(240) 555-0101,tereza@tailspintoys.com,,,,1
1028,Brijesh Ganguly,Brijesh,Brijesh Brijesh Ganguly,f,NO LOGON,f,,f,f,f,,(240) 555-0100,(240) 555-0101,brijesh@tailspintoys.com,,,,1
1029,Filips Jaunzems,Filips,Filips Filips Jaunzems,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,filips@tailspintoys.com,,,,1
1030,Bharati Bhowmick,Bharati,Bharati Bharati Bhowmick,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,bharati@tailspintoys.com,,,,1
1031,Nitin Matondkar,Nitin,Nitin Nitin Matondkar,f,NO LOGON,f,,f,f,f,,(314) 555-0100,(314) 555-0101,nitin@tailspintoys.com,,,,1
1032,Joy Dutta,Joy,Joy Joy Dutta,f,NO LOGON,f,,f,f,f,,(314) 555-0100,(314) 555-0101,joy@tailspintoys.com,,,,1
1033,Adam Kubat,Adam,Adam Adam Kubat,f,NO LOGON,f,,f,f,f,,(216) 555-0100,(216) 555-0101,adam@tailspintoys.com,,,,1
1034,Gulzar Naidu,Gulzar,Gulzar Gulzar Naidu,f,NO LOGON,f,,f,f,f,,(216) 555-0100,(216) 555-0101,gulzar@tailspintoys.com,,,,1
1035,Isabelle Vodlan,Isabelle,Isabelle Isabelle Vodlan,f,NO LOGON,f,,f,f,f,,(603) 555-0100,(603) 555-0101,isabelle@tailspintoys.com,,,,1
1036,Prakash Sarma,Prakash,Prakash Prakash Sarma,f,NO LOGON,f,,f,f,f,,(603) 555-0100,(603) 555-0101,prakash@tailspintoys.com,,,,1
1037,Mithun Bhattacharya,Mithun,Mithun Mithun Bhattacharya,f,NO LOGON,f,,f,f,f,,(907) 555-0100,(907) 555-0101,mithun@tailspintoys.com,,,,1
1038,Sandhya Raju,Sandhya,Sandhya Sandhya Raju,f,NO LOGON,f,,f,f,f,,(907) 555-0100,(907) 555-0101,sandhya@tailspintoys.com,,,,1
1039,Nghi Hua,Nghi,Nghi Nghi Hua,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,nghi@tailspintoys.com,,,,1
1040,Ravindra Parkar,Ravindra,Ravindra Ravindra Parkar,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,ravindra@tailspintoys.com,,,,1
1041,Duleep Raju,Duleep,Duleep Duleep Raju,f,NO LOGON,f,,f,f,f,,(215) 555-0100,(215) 555-0101,duleep@tailspintoys.com,,,,1
1042,Vlatka Duvnjak,Vlatka,Vlatka Vlatka Duvnjak,f,NO LOGON,f,,f,f,f,,(215) 555-0100,(215) 555-0101,vlatka@tailspintoys.com,,,,1
1043,Cristina Longo,Cristina,Cristina Cristina Longo,f,NO LOGON,f,,f,f,f,,(239) 555-0100,(239) 555-0101,cristina@tailspintoys.com,,,,1
1044,Antonio Lucchese,Antonio,Antonio Antonio Lucchese,f,NO LOGON,f,,f,f,f,,(239) 555-0100,(239) 555-0101,antonio@tailspintoys.com,,,,1
1045,Hang Tang,Hang,Hang Hang Tang,f,NO LOGON,f,,f,f,f,,(907) 555-0100,(907) 555-0101,hang@tailspintoys.com,,,,1
1046,Hong Ang,Hong,Hong Hong Ang,f,NO LOGON,f,,f,f,f,,(907) 555-0100,(907) 555-0101,hong@tailspintoys.com,,,,1
1047,Intira Mookjai,Intira,Intira Intira Mookjai,f,NO LOGON,f,,f,f,f,,(252) 555-0100,(252) 555-0101,intira@tailspintoys.com,,,,1
1048,Young-Tae Kim,Young-Tae,Young-Tae Young-Tae Kim,t,young-tae@tailspintoys.com,f,,f,f,f,,(252) 555-0100,(252) 555-0101,young-tae@tailspintoys.com,,,,1
1049,Sulabha Khalsa,Sulabha,Sulabha Sulabha Khalsa,f,NO LOGON,f,,f,f,f,,(209) 555-0100,(209) 555-0101,sulabha@tailspintoys.com,,,,1
1050,Alessandro Milano,Alessandro,Alessandro Alessandro Milano,f,NO LOGON,f,,f,f,f,,(209) 555-0100,(209) 555-0101,alessandro@tailspintoys.com,,,,1
1051,Dhanishta Majji,Dhanishta,Dhanishta Dhanishta Majji,f,NO LOGON,f,,f,f,f,,(319) 555-0100,(319) 555-0101,dhanishta@tailspintoys.com,,,,1
1052,Nils Podnieks,Nils,Nils Nils Podnieks,f,NO LOGON,f,,f,f,f,,(319) 555-0100,(319) 555-0101,nils@tailspintoys.com,,,,1
1053,Paula Gonzales,Paula,Paula Paula Gonzales,f,NO LOGON,f,,f,f,f,,(218) 555-0100,(218) 555-0101,paula@tailspintoys.com,,,,1
1054,Chetana Dewangan,Chetana,Chetana Chetana Dewangan,f,NO LOGON,f,,f,f,f,,(218) 555-0100,(218) 555-0101,chetana@tailspintoys.com,,,,1
1055,Tatjana Utjesenovic,Tatjana,Tatjana Tatjana Utjesenovic,f,NO LOGON,f,,f,f,f,,(212) 555-0100,(212) 555-0101,tatjana@tailspintoys.com,,,,1
1056,Theresa Boose,Theresa,Theresa Theresa Boose,f,NO LOGON,f,,f,f,f,,(212) 555-0100,(212) 555-0101,theresa@tailspintoys.com,,,,1
1057,Karel Hanak,Karel,Karel Karel Hanak,t,karel@tailspintoys.com,f,,f,f,f,,(205) 555-0100,(205) 555-0101,karel@tailspintoys.com,,,,1
1058,Fernanda Fierro,Fernanda,Fernanda Fernanda Fierro,f,NO LOGON,f,,f,f,f,,(205) 555-0100,(205) 555-0101,fernanda@tailspintoys.com,,,,1
1059,Odessa Schneider,Odessa,Odessa Odessa Schneider,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,odessa@tailspintoys.com,,,,1
1060,Konrads Sprogis,Konrads,Konrads Konrads Sprogis,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,konrads@tailspintoys.com,,,,1
1061,Kimberly Pace,Kimberly,Kimberly Kimberly Pace,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,kimberly@tailspintoys.com,,,,1
1062,Shobha Gupta,Shobha,Shobha Shobha Gupta,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,shobha@tailspintoys.com,,,,1
1063,Nikolajs Kalejs,Nikolajs,Nikolajs Nikolajs Kalejs,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,nikolajs@tailspintoys.com,,,,1
1064,Philippe Lamy,Philippe,Philippe Philippe Lamy,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,philippe@tailspintoys.com,,,,1
1065,Haasini Rai,Haasini,Haasini Haasini Rai,f,NO LOGON,f,,f,f,f,,(803) 555-0100,(803) 555-0101,haasini@tailspintoys.com,,,,1
1066,Viktorie Melicharova,Viktorie,Viktorie Viktorie Melicharova,f,NO LOGON,f,,f,f,f,,(803) 555-0100,(803) 555-0101,viktorie@tailspintoys.com,,,,1
1067,Anjali Asthana,Anjali,Anjali Anjali Asthana,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,anjali@tailspintoys.com,,,,1
1068,Hanuman Negi,Hanuman,Hanuman Hanuman Negi,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,hanuman@tailspintoys.com,,,,1
1069,Shah Omidi,Shah,Shah Shah Omidi,f,NO LOGON,f,,f,f,f,,(304) 555-0100,(304) 555-0101,shah@tailspintoys.com,,,,1
1070,Chandra Mittal,Chandra,Chandra Chandra Mittal,f,NO LOGON,f,,f,f,f,,(304) 555-0100,(304) 555-0101,chandra@tailspintoys.com,,,,1
1071,Ferhat Celik,Ferhat,Ferhat Ferhat Celik,f,NO LOGON,f,,f,f,f,,(270) 555-0100,(270) 555-0101,ferhat@tailspintoys.com,,,,1
1072,Leyla Celik,Leyla,Leyla Leyla Celik,f,NO LOGON,f,,f,f,f,,(270) 555-0100,(270) 555-0101,leyla@tailspintoys.com,,,,1
1073,Dayarama Kamei,Dayarama,Dayarama Dayarama Kamei,f,NO LOGON,f,,f,f,f,,(458) 555-0100,(458) 555-0101,dayarama@tailspintoys.com,,,,1
1074,Elisabeth Flamand,Elisabeth,Elisabeth Elisabeth Flamand,f,NO LOGON,f,,f,f,f,,(458) 555-0100,(458) 555-0101,elisabeth@tailspintoys.com,,,,1
1075,Nils Kalnins,Nils,Nils Nils Kalnins,f,NO LOGON,f,,f,f,f,,(314) 555-0100,(314) 555-0101,nils@tailspintoys.com,,,,1
1076,Rajiv Kotadia,Rajiv,Rajiv Rajiv Kotadia,f,NO LOGON,f,,f,f,f,,(314) 555-0100,(314) 555-0101,rajiv@tailspintoys.com,,,,1
1077,Ashish Acharya,Ashish,Ashish Ashish Acharya,t,ashish@tailspintoys.com,f,,f,f,f,,(270) 555-0100,(270) 555-0101,ashish@tailspintoys.com,,,,1
1078,Filip Sedlar,Filip,Filip Filip Sedlar,f,NO LOGON,f,,f,f,f,,(270) 555-0100,(270) 555-0101,filip@tailspintoys.com,,,,1
1079,Alena Prikrylova,Alena,Alena Alena Prikrylova,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,alena@tailspintoys.com,,,,1
1080,Catina Bojin,Catina,Catina Catina Bojin,f,NO LOGON,f,,f,f,f,,(210) 555-0100,(210) 555-0101,catina@tailspintoys.com,,,,1
1081,Lana Rozej,Lana,Lana Lana Rozej,f,NO LOGON,f,,f,f,f,,(314) 555-0100,(314) 555-0101,lana@tailspintoys.com,,,,1
1082,Kalpana Mukherjee,Kalpana,Kalpana Kalpana Mukherjee,t,kalpana@tailspintoys.com,f,,f,f,f,,(314) 555-0100,(314) 555-0101,kalpana@tailspintoys.com,,,,1
1083,Chandrakanta Raut,Chandrakanta,Chandrakanta Chandrakanta Raut,f,NO LOGON,f,,f,f,f,,(212) 555-0100,(212) 555-0101,chandrakanta@tailspintoys.com,,,,1
1084,Ivan Castellanos,Ivan,Ivan Ivan Castellanos,t,ivan@tailspintoys.com,f,,f,f,f,,(212) 555-0100,(212) 555-0101,ivan@tailspintoys.com,,,,1
1085,Ganapati Gadiyaram,Ganapati,Ganapati Ganapati Gadiyaram,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,ganapati@tailspintoys.com,,,,1
1086,Parsa Blijleven,Parsa,Parsa Parsa Blijleven,t,parsa@tailspintoys.com,f,,f,f,f,,(206) 555-0100,(206) 555-0101,parsa@tailspintoys.com,,,,1
1087,Adrijana Blagojevic,Adrijana,Adrijana Adrijana Blagojevic,t,adrijana@tailspintoys.com,f,,f,f,f,,(206) 555-0100,(206) 555-0101,adrijana@tailspintoys.com,,,,1
1088,Lina Martins,Lina,Lina Lina Martins,f,NO LOGON,f,,f,f,f,,(206) 555-0100,(206) 555-0101,lina@tailspintoys.com,,,,1
1089,Lap Dinh,Lap,Lap Lap Dinh,f,NO LOGON,f,,f,f,f,,(240) 555-0100,(240) 555-0101,lap@tailspintoys.com,,,,1
1090,August Astrom,August,August August Astrom,f,NO LOGON,f,,f,f,f,,(240) 555-0100,(240) 555-0101,august@tailspintoys.com,,,,1
1091,Didem ozCelik,Didem,Didem Didem ozCelik,f,NO LOGON,f,,f,f,f,,(205) 555-0100,(205) 555-0101,didem@tailspintoys.com,,,,1
1092,Krista Andrejev,Krista,Krista Krista Andrejev,f,NO LOGON,f,,f,f,f,,(205) 555-0100,(205) 555-0101,krista@tailspintoys.com,,,,1
